Year,Company Name,Type of Breach,Records Compromised,Financial Loss,Impact Level,Industry,Human Error Factor,Human Error Factor Code,Mitigation Measures
2003,JPMorgan Chase,Insider Threat,331984,988872.1569,Low,Finance,Improper Disposal ,2,Access Controls
2018,US Bancorp,Ransomware,380167,1459538.873,Medium,Finance,Insider Threat,3,Data Encryption
2007,Kroger,Insider Threat,643865,2013855.059,Medium,Retail,Phishing Attack,4,Regular Security Training
2013,IBM,Ransomware,896825,1588744.621,High,Technology,Insider Threat,3,Regular Security Training
2018,Best Buy,DDoS Attack,105721,1003220.547,Critical,Retail,Improper Disposal ,2,Access Controls
2012,Facebook,Malware,839900,1437076.46,Medium,Technology,Insider Threat,3,Regular Security Training
2013,DOE,Malware,937661,2040784.946,High,Government,Phishing Attack,4,Access Controls
2009,Cisco,Physical Breach,901204,1030501.163,Medium,Technology,Improper Disposal ,2,Two-factor Authentication
2006,HP,Insider Threat,880725,2436779.946,High,Technology,Weak Password Management,5,Data Encryption
2011,PNC Financial,Physical Breach,585572,992430.1132,Medium,Finance,Improper Disposal ,2,Access Controls
2003,Bank of America,DDoS Attack,713597,1951100.042,Medium,Finance,Phishing Attack,4,Regular Audits
2005,Walmart,Ransomware,341881,1424153.851,High,Retail,Insider Threat,3,Two-factor Authentication
2012,Amazon,Insider Threat,663398,1990530.814,Critical,Retail,Phishing Attack,4,Access Controls
2020,Apple,Insider Threat,891136,874539.7112,Low,Technology,Improper Disposal ,2,Regular Security Training
2010,Apple,Password Guessing,306509,2065621.88,High,Technology,Phishing Attack,4,Data Encryption
2014,Microsoft,Password Guessing,616429,499061.9616,High,Technology,Unintentional Info Leak ,1,Regular Security Training
2000,Tenet Healthcare,Password Guessing,247024,996473.7645,Critical,Healthcare,Improper Disposal ,2,Regular Security Training
2005,Google,Phishing,101195,411245.9579,Critical,Technology,Unintentional Info Leak ,1,Two-factor Authentication
2000,Apple,Physical Breach,803156,1608626.796,Medium,Technology,Insider Threat,3,Regular Security Training
2002,JPMorgan Chase,Ransomware,241497,1966581.913,Medium,Finance,Phishing Attack,4,Regular Security Training
2016,Apple,Phishing,37862,1092581.012,Critical,Technology,Improper Disposal ,2,Access Controls
2014,Citigroup,Ransomware,576191,1982745.423,Critical,Finance,Phishing Attack,4,Regular Security Training
2018,Wells Fargo,Insider Threat,662701,2032899.018,Critical,Finance,Phishing Attack,4,Regular Audits
2020,Kroger,Ransomware,954075,949325.7124,High,Retail,Improper Disposal ,2,Access Controls
2009,Kroger,Insider Threat,273427,448971.0978,Low,Retail,Unintentional Info Leak ,1,Regular Security Training
2011,US Bancorp,Insider Threat,562091,1029862.87,Critical,Finance,Improper Disposal ,2,Data Encryption
2000,FBI,DDoS Attack,308151,1978693.507,High,Government,Phishing Attack,4,Data Encryption
2006,Community Health Systems,Physical Breach,459339,996159.7485,Medium,Healthcare,Improper Disposal ,2,Access Controls
2007,Treasury Department,Phishing,443750,1525648.499,High,Government,Insider Threat,3,Data Encryption
2009,Mayo Clinic,DDoS Attack,282880,2476064.158,Critical,Healthcare,Weak Password Management,5,Regular Security Training
2009,Capital One,Password Guessing,478461,1022329.867,Medium,Finance,Improper Disposal ,2,Access Controls
2006,Oracle,Phishing,160540,1032963.101,High,Technology,Improper Disposal ,2,Two-factor Authentication
2009,IBM,Malware,750937,2492248.516,Low,Technology,Weak Password Management,5,Regular Security Training
2000,Lowe's,Malware,359521,1958090.141,High,Retail,Phishing Attack,4,Data Encryption
2014,HCA Healthcare,Ransomware,85120,2040298.023,Critical,Healthcare,Phishing Attack,4,Data Encryption
2024,Kindred Healthcare,Phishing,570578,2068238.33,Medium,Healthcare,Phishing Attack,4,Access Controls
2000,HUD,DDoS Attack,750398,2524736.453,High,Government,Weak Password Management,5,Regular Security Training
2023,Google,Malware,484220,499266.6807,Low,Technology,Unintentional Info Leak ,1,Access Controls
2012,IBM,Ransomware,167316,1999415.264,Low,Technology,Phishing Attack,4,Regular Audits
2003,Johns Hopkins,Insider Threat,670536,1010653.446,Medium,Healthcare,Improper Disposal ,2,Regular Security Training
2003,PNC Financial,Password Guessing,456251,980614.1893,Medium,Finance,Improper Disposal ,2,Regular Audits
2003,Walgreens,DDoS Attack,255897,475656.3907,Low,Retail,Unintentional Info Leak ,1,Regular Audits
2004,Ascension,DDoS Attack,94826,967324.9376,High,Healthcare,Improper Disposal ,2,Data Encryption
2024,Morgan Stanley,Phishing,373787,1545049.52,High,Finance,Insider Threat,3,Regular Security Training
2015,Apple,Ransomware,586472,449240.3929,High,Technology,Unintentional Info Leak ,1,Regular Security Training
2000,Microsoft,Ransomware,760587,1013017.112,Critical,Technology,Improper Disposal ,2,Access Controls
2017,HUD,Physical Breach,731897,2460136.467,High,Government,Weak Password Management,5,Data Encryption
2010,DOE,Ransomware,910809,2566007.541,Critical,Government,Weak Password Management,5,Regular Security Training
2002,Johns Hopkins,Malware,472213,1021416.86,Medium,Healthcare,Improper Disposal ,2,Access Controls
2000,Best Buy,Insider Threat,770295,2530953.331,Low,Retail,Weak Password Management,5,Regular Audits
2007,JPMorgan Chase,Password Guessing,67418,1922447.288,High,Finance,Phishing Attack,4,Regular Security Training
2016,Cleveland Clinic,DDoS Attack,579255,569953.8037,Medium,Healthcare,Unintentional Info Leak ,1,Data Encryption
2003,Target,Physical Breach,691897,2532713.289,Critical,Retail,Weak Password Management,5,Regular Security Training
2001,Microsoft,Phishing,509947,571817.1718,Low,Technology,Unintentional Info Leak ,1,Access Controls
2016,Kindred Healthcare,Ransomware,52470,523813.3773,High,Healthcare,Unintentional Info Leak ,1,Two-factor Authentication
2006,FBI,DDoS Attack,84840,432726.9893,High,Government,Unintentional Info Leak ,1,Regular Audits
2023,Intel,DDoS Attack,387996,947345.569,Low,Technology,Improper Disposal ,2,Data Encryption
2016,Facebook,Password Guessing,74807,578492.0482,Low,Technology,Unintentional Info Leak ,1,Regular Audits
2003,Morgan Stanley,Password Guessing,243239,2009788.856,Medium,Finance,Phishing Attack,4,Regular Security Training
2018,Citigroup,Physical Breach,786587,1519850.311,High,Finance,Insider Threat,3,Data Encryption
2021,DOD,Password Guessing,698557,456918.3554,Medium,Government,Unintentional Info Leak ,1,Regular Audits
2012,Intel,Ransomware,690472,2427709.933,Critical,Technology,Weak Password Management,5,Data Encryption
2010,American Express,Ransomware,886893,496265.4714,High,Finance,Unintentional Info Leak ,1,Data Encryption
2019,Target,Physical Breach,573130,2520070.812,High,Retail,Weak Password Management,5,Data Encryption
2014,Walgreens,Insider Threat,1205,2519856.236,Critical,Retail,Weak Password Management,5,Two-factor Authentication
2016,Bank of America,Ransomware,7887,1876810.268,Medium,Finance,Phishing Attack,4,Two-factor Authentication
2024,HP,Physical Breach,537107,1912829.419,Critical,Technology,Phishing Attack,4,Two-factor Authentication
2001,Community Health Systems,Ransomware,164690,2504527.303,Medium,Healthcare,Weak Password Management,5,Regular Security Training
2007,US Bancorp,DDoS Attack,315889,1453981.568,Medium,Finance,Insider Threat,3,Two-factor Authentication
2023,Kroger,DDoS Attack,506972,990607.8886,Critical,Retail,Improper Disposal ,2,Two-factor Authentication
2019,Google,Phishing,767288,519289.057,Medium,Technology,Unintentional Info Leak ,1,Data Encryption
2011,IBM,Insider Threat,976433,2006109.72,Critical,Technology,Phishing Attack,4,Regular Audits
2000,Target,Phishing,320588,495368.6975,Medium,Retail,Unintentional Info Leak ,1,Regular Security Training
2010,HCA Healthcare,Password Guessing,232522,1032065.376,High,Healthcare,Improper Disposal ,2,Access Controls
2024,Microsoft,Physical Breach,530247,2478586.641,High,Technology,Weak Password Management,5,Regular Security Training
2004,HP,Phishing,499969,920159.5105,Low,Technology,Improper Disposal ,2,Data Encryption
2002,Facebook,Physical Breach,456596,2458171.527,Medium,Technology,Weak Password Management,5,Access Controls
2017,Home Depot,Insider Threat,415521,2627642.351,Medium,Retail,Weak Password Management,5,Regular Audits
2007,Treasury Department,Phishing,280190,961050.5078,Medium,Government,Improper Disposal ,2,Two-factor Authentication
2003,Walmart,Insider Threat,384010,1483739.161,Medium,Retail,Insider Threat,3,Two-factor Authentication
2024,Cleveland Clinic,Malware,367704,2034187.048,Critical,Healthcare,Phishing Attack,4,Regular Audits
2004,JPMorgan Chase,Phishing,970107,994049.6112,Medium,Finance,Improper Disposal ,2,Regular Security Training
2024,Walgreens,Phishing,776507,610434.0476,Critical,Retail,Unintentional Info Leak ,1,Data Encryption
2000,Apple,Password Guessing,844349,1975715.434,High,Technology,Phishing Attack,4,Data Encryption
2006,Bank of America,Malware,214701,569535.1442,High,Finance,Unintentional Info Leak ,1,Access Controls
2019,PNC Financial,Password Guessing,733697,953367.8923,Medium,Finance,Improper Disposal ,2,Two-factor Authentication
2008,Walgreens,Phishing,298809,1046630.761,High,Retail,Improper Disposal ,2,Two-factor Authentication
2014,Lowe's,Phishing,408523,1059439.844,High,Retail,Improper Disposal ,2,Two-factor Authentication
2000,HCA Healthcare,DDoS Attack,927314,2568134.996,Medium,Healthcare,Weak Password Management,5,Regular Audits
2022,HHS,Ransomware,509205,1006059.844,High,Government,Improper Disposal ,2,Regular Security Training
2016,NASA,Physical Breach,972348,1630748.682,Low,Government,Insider Threat,3,Data Encryption
2010,Capital One,Insider Threat,781550,1503321.305,Medium,Finance,Insider Threat,3,Data Encryption
2020,Facebook,Malware,526600,1612963.831,Low,Technology,Insider Threat,3,Access Controls
2000,Lowe's,Ransomware,237540,1973742.076,Critical,Retail,Phishing Attack,4,Two-factor Authentication
2023,Capital One,Physical Breach,711929,1440701.139,High,Finance,Insider Threat,3,Access Controls
2007,HHS,Malware,448180,2513351.908,Critical,Government,Weak Password Management,5,Access Controls
2017,Goldman Sachs,Malware,685167,1960845.318,High,Finance,Phishing Attack,4,Regular Security Training
2009,Kindred Healthcare,Malware,451955,2431231.744,Critical,Healthcare,Weak Password Management,5,Regular Audits
2005,Bank of America,Phishing,585413,2099046.361,High,Finance,Phishing Attack,4,Data Encryption
2004,Cisco,DDoS Attack,335168,649063.1914,High,Technology,Unintentional Info Leak ,1,Data Encryption
2014,EPA,Malware,817953,2534725.015,Medium,Government,Weak Password Management,5,Regular Audits
2019,Apple,Physical Breach,595587,1389154.479,High,Technology,Insider Threat,3,Two-factor Authentication
2011,Cisco,Password Guessing,818707,2553873.633,High,Technology,Weak Password Management,5,Access Controls
2022,Capital One,Malware,894522,2060919.899,High,Finance,Phishing Attack,4,Regular Security Training
2007,Kaiser Permanente,Insider Threat,802677,1497650.178,Critical,Healthcare,Insider Threat,3,Regular Security Training
2023,Bank of America,DDoS Attack,215498,2120830.442,Critical,Finance,Phishing Attack,4,Regular Audits
2015,Johns Hopkins,DDoS Attack,480770,1539132.931,High,Healthcare,Insider Threat,3,Regular Audits
2023,Facebook,Password Guessing,329096,463755.8179,Critical,Technology,Unintentional Info Leak ,1,Regular Audits
2017,Facebook,Password Guessing,919325,2539969.191,Low,Technology,Weak Password Management,5,Access Controls
2014,Costco,Malware,544899,2524501.143,Critical,Retail,Weak Password Management,5,Regular Audits
2012,Best Buy,DDoS Attack,662282,1114786.134,Medium,Retail,Improper Disposal ,2,Access Controls
2009,Facebook,Insider Threat,175573,1379692.737,High,Technology,Insider Threat,3,Regular Audits
2004,Lowe's,DDoS Attack,678486,2012100.124,High,Retail,Phishing Attack,4,Regular Security Training
2024,Amazon,Password Guessing,573949,1498364.476,High,Retail,Insider Threat,3,Two-factor Authentication
2005,Community Health Systems,Physical Breach,941171,1005246.417,Medium,Healthcare,Improper Disposal ,2,Two-factor Authentication
2008,IBM,Password Guessing,681081,478750.7899,High,Technology,Unintentional Info Leak ,1,Two-factor Authentication
2003,Microsoft,Password Guessing,381573,1040480.385,High,Technology,Improper Disposal ,2,Regular Audits
2005,Google,Physical Breach,400095,2433962.636,Medium,Technology,Weak Password Management,5,Regular Audits
2021,DOD,Malware,912022,449000.9755,High,Government,Unintentional Info Leak ,1,Access Controls
2009,Amazon,Password Guessing,806967,1421045.269,Medium,Technology,Insider Threat,3,Two-factor Authentication
2004,Bank of America,Phishing,653801,577820.5857,Low,Finance,Unintentional Info Leak ,1,Access Controls
2017,Mayo Clinic,Physical Breach,926581,2003943.299,Medium,Healthcare,Phishing Attack,4,Access Controls
2013,Home Depot,Phishing,631421,2536892.912,Medium,Retail,Weak Password Management,5,Data Encryption
2019,Walgreens,DDoS Attack,866339,1067985.01,Medium,Retail,Improper Disposal ,2,Data Encryption
2001,Morgan Stanley,DDoS Attack,35007,496311.5873,Critical,Finance,Unintentional Info Leak ,1,Data Encryption
2002,Google,Phishing,438211,2008581.103,Medium,Technology,Phishing Attack,4,Regular Audits
2021,Amazon,Physical Breach,826551,969053.0895,Critical,Technology,Improper Disposal ,2,Data Encryption
2001,Costco,DDoS Attack,314833,1996084.756,Critical,Retail,Phishing Attack,4,Access Controls
2017,IBM,Ransomware,494687,1014792.842,High,Technology,Improper Disposal ,2,Data Encryption
2016,DOE,Physical Breach,221038,2044649.384,High,Government,Phishing Attack,4,Regular Audits
2023,Capital One,Phishing,508157,495637.1953,High,Finance,Unintentional Info Leak ,1,Access Controls
2019,IBM,Ransomware,551912,1406875.717,High,Technology,Insider Threat,3,Regular Audits
2018,Kroger,Physical Breach,765605,2433379.691,High,Retail,Weak Password Management,5,Regular Audits
2007,Oracle,Malware,2657,1490485.584,High,Technology,Insider Threat,3,Regular Security Training
2019,Kindred Healthcare,Insider Threat,48702,1024163.057,High,Healthcare,Improper Disposal ,2,Two-factor Authentication
2020,Oracle,Password Guessing,296307,2082257.345,Low,Technology,Phishing Attack,4,Regular Audits
2017,Microsoft,DDoS Attack,7429,1525870.588,Medium,Technology,Insider Threat,3,Regular Audits
2019,Kaiser Permanente,DDoS Attack,185160,1002022.722,Critical,Healthcare,Improper Disposal ,2,Access Controls
2001,HP,Insider Threat,163934,2498834.229,Critical,Technology,Weak Password Management,5,Data Encryption
2014,DOD,Password Guessing,59743,1897535.402,Medium,Government,Phishing Attack,4,Regular Audits
2017,USPS,Malware,606445,1027158.006,High,Government,Improper Disposal ,2,Two-factor Authentication
2004,Target,DDoS Attack,33687,2014881.017,Medium,Retail,Phishing Attack,4,Regular Security Training
2018,DOD,Insider Threat,197481,2037995.763,Critical,Government,Phishing Attack,4,Data Encryption
2022,Tenet Healthcare,Ransomware,434973,2438837.996,Critical,Healthcare,Weak Password Management,5,Access Controls
2009,US Bancorp,Physical Breach,318003,1044904.531,Medium,Finance,Improper Disposal ,2,Regular Security Training
2002,NASA,Physical Breach,27146,1026220.978,Critical,Government,Improper Disposal ,2,Regular Security Training
2010,Johns Hopkins,Password Guessing,917328,1933371.498,High,Healthcare,Phishing Attack,4,Two-factor Authentication
2016,Tenet Healthcare,Malware,760767,469827.1141,Medium,Healthcare,Unintentional Info Leak ,1,Two-factor Authentication
2000,HCA Healthcare,Phishing,721426,1546272.174,Critical,Healthcare,Insider Threat,3,Access Controls
2001,HP,Physical Breach,804398,550524.2352,Medium,Technology,Unintentional Info Leak ,1,Data Encryption
2020,IBM,Ransomware,211297,962525.9555,Medium,Technology,Improper Disposal ,2,Access Controls
2021,Citigroup,Ransomware,157574,1565396.793,Medium,Finance,Insider Threat,3,Regular Audits
2016,Best Buy,Malware,569882,503722.4776,Medium,Retail,Unintentional Info Leak ,1,Data Encryption
2018,Morgan Stanley,Malware,75703,1941218.076,Critical,Finance,Phishing Attack,4,Access Controls
2001,EPA,Phishing,494602,1440473.392,Low,Government,Insider Threat,3,Two-factor Authentication
2002,Walmart,Insider Threat,188677,486905.9402,Critical,Retail,Unintentional Info Leak ,1,Regular Audits
2011,Cleveland Clinic,Ransomware,858150,2548653.804,High,Healthcare,Weak Password Management,5,Two-factor Authentication
2024,Wells Fargo,Physical Breach,139197,425522.763,Critical,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2014,FBI,Password Guessing,676721,980530.488,High,Government,Improper Disposal ,2,Regular Security Training
2004,HP,Ransomware,412122,937906.5837,Critical,Technology,Improper Disposal ,2,Data Encryption
2014,HP,Phishing,69540,501522.8372,Medium,Technology,Unintentional Info Leak ,1,Regular Security Training
2009,Google,Physical Breach,603593,1023664.108,Medium,Technology,Improper Disposal ,2,Data Encryption
2017,HCA Healthcare,DDoS Attack,317793,2517326.405,High,Healthcare,Weak Password Management,5,Regular Security Training
2019,HUD,Physical Breach,167744,555568.9391,Medium,Government,Unintentional Info Leak ,1,Regular Security Training
2022,American Express,Insider Threat,823412,993058.1431,High,Finance,Improper Disposal ,2,Regular Audits
2022,Morgan Stanley,Malware,695799,2550133.222,High,Finance,Weak Password Management,5,Access Controls
2003,Wells Fargo,Physical Breach,486394,951026.3045,Low,Finance,Improper Disposal ,2,Regular Security Training
2009,EPA,Phishing,628320,2481080.943,Critical,Government,Weak Password Management,5,Data Encryption
2015,Citigroup,Phishing,229182,451858.9452,Critical,Finance,Unintentional Info Leak ,1,Regular Security Training
2021,EPA,Insider Threat,558062,525307.1966,High,Government,Unintentional Info Leak ,1,Regular Security Training
2006,HP,Ransomware,598978,874181.8244,High,Technology,Improper Disposal ,2,Data Encryption
2002,Best Buy,Phishing,642194,1012550.856,High,Retail,Improper Disposal ,2,Data Encryption
2001,Home Depot,Physical Breach,56708,1082100.903,High,Retail,Improper Disposal ,2,Two-factor Authentication
2009,Mayo Clinic,Malware,453686,1393765.607,Medium,Healthcare,Insider Threat,3,Access Controls
2012,Cleveland Clinic,Insider Threat,572598,2476072.443,Medium,Healthcare,Weak Password Management,5,Regular Security Training
2017,Amazon,DDoS Attack,970389,1444781.734,High,Retail,Insider Threat,3,Regular Security Training
2004,Ascension,Phishing,680885,2388688.434,High,Healthcare,Weak Password Management,5,Access Controls
2004,UPMC,Malware,674440,985910.7809,Critical,Healthcare,Improper Disposal ,2,Access Controls
2019,DOE,Insider Threat,535160,1956265.08,Critical,Government,Phishing Attack,4,Data Encryption
2007,HUD,Insider Threat,634941,2440872.47,High,Government,Weak Password Management,5,Regular Audits
2008,Cisco,Physical Breach,605349,562203.62,Critical,Technology,Unintentional Info Leak ,1,Access Controls
2022,JPMorgan Chase,Phishing,609455,2009672.574,High,Finance,Phishing Attack,4,Regular Audits
2024,Best Buy,Insider Threat,543060,527647.5962,Critical,Retail,Unintentional Info Leak ,1,Regular Security Training
2015,HUD,Password Guessing,665469,2013265.736,High,Government,Phishing Attack,4,Two-factor Authentication
2010,Lowe's,DDoS Attack,12307,1511449.268,High,Retail,Insider Threat,3,Regular Audits
2023,Lowe's,Insider Threat,371057,576198.5073,High,Retail,Unintentional Info Leak ,1,Regular Security Training
2001,Morgan Stanley,Password Guessing,319841,1090831.637,High,Finance,Improper Disposal ,2,Access Controls
2018,American Express,Physical Breach,55127,2030316.113,Medium,Finance,Phishing Attack,4,Two-factor Authentication
2009,American Express,Phishing,133981,2116339.179,Critical,Finance,Phishing Attack,4,Data Encryption
2004,Google,Ransomware,900529,465186.5632,High,Technology,Unintentional Info Leak ,1,Regular Security Training
2018,HCA Healthcare,Password Guessing,469349,997089.3724,Medium,Healthcare,Improper Disposal ,2,Access Controls
2005,Morgan Stanley,DDoS Attack,35697,1955705.846,Low,Finance,Phishing Attack,4,Regular Audits
2004,Target,DDoS Attack,434007,1355112.191,Medium,Retail,Insider Threat,3,Regular Security Training
2006,Google,Password Guessing,883725,2536823.134,High,Technology,Weak Password Management,5,Two-factor Authentication
2005,Apple,Insider Threat,500365,1977959.549,High,Technology,Phishing Attack,4,Regular Security Training
2012,Wells Fargo,Insider Threat,276382,1952976.863,Critical,Finance,Phishing Attack,4,Data Encryption
2014,NASA,Password Guessing,332023,1021752.945,High,Government,Improper Disposal ,2,Two-factor Authentication
2017,USPS,DDoS Attack,453760,2549159.803,High,Government,Weak Password Management,5,Data Encryption
2008,Capital One,DDoS Attack,104050,1496194.262,High,Finance,Insider Threat,3,Regular Security Training
2023,Treasury Department,DDoS Attack,205394,2531498.844,High,Government,Weak Password Management,5,Data Encryption
2017,Walgreens,Password Guessing,9887,988525.3227,Low,Retail,Improper Disposal ,2,Regular Audits
2003,JPMorgan Chase,Ransomware,231074,496711.0413,Medium,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2019,PNC Financial,Phishing,985094,2532617.36,Critical,Finance,Weak Password Management,5,Regular Audits
2020,Bank of America,Password Guessing,126805,562105.217,High,Finance,Unintentional Info Leak ,1,Regular Audits
2005,Citigroup,Password Guessing,194213,1498596.415,High,Finance,Insider Threat,3,Access Controls
2008,Kroger,Password Guessing,948274,2446511.464,High,Retail,Weak Password Management,5,Regular Security Training
2024,NASA,Ransomware,815854,2495250.393,Medium,Government,Weak Password Management,5,Data Encryption
2008,DOE,Insider Threat,73769,1514602.11,Critical,Government,Insider Threat,3,Access Controls
2005,Target,Phishing,151861,423947.8035,High,Retail,Unintentional Info Leak ,1,Two-factor Authentication
2014,FBI,Phishing,37554,990054.6906,High,Government,Improper Disposal ,2,Access Controls
2000,Target,Malware,685578,2465001.798,Critical,Retail,Weak Password Management,5,Data Encryption
2004,Costco,Insider Threat,603553,1962309.654,High,Retail,Phishing Attack,4,Access Controls
2013,JPMorgan Chase,DDoS Attack,764119,2472723.983,High,Finance,Weak Password Management,5,Regular Security Training
2000,Walmart,Password Guessing,858710,1413314.26,Medium,Retail,Insider Threat,3,Data Encryption
2010,Goldman Sachs,Insider Threat,58875,480729.8222,Critical,Finance,Unintentional Info Leak ,1,Data Encryption
2017,Kroger,Phishing,883042,1421038.487,High,Retail,Insider Threat,3,Regular Security Training
2017,Capital One,Insider Threat,693829,946763.4279,High,Finance,Improper Disposal ,2,Data Encryption
2015,Community Health Systems,Password Guessing,460259,1486977.799,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2023,American Express,Malware,513997,2050137.074,High,Finance,Phishing Attack,4,Access Controls
2017,Walgreens,Phishing,39842,1061694.653,Medium,Retail,Improper Disposal ,2,Access Controls
2003,Best Buy,DDoS Attack,686611,1958168.151,High,Retail,Phishing Attack,4,Regular Security Training
2023,Microsoft,Malware,970739,2469211.211,High,Technology,Weak Password Management,5,Two-factor Authentication
2015,Bank of America,Malware,736363,1510004.57,Low,Finance,Insider Threat,3,Data Encryption
2003,Walmart,Physical Breach,179980,1040220.063,Low,Retail,Improper Disposal ,2,Two-factor Authentication
2015,Apple,DDoS Attack,646533,1954541.392,Critical,Technology,Phishing Attack,4,Data Encryption
2023,Tenet Healthcare,Ransomware,127670,2534186.673,High,Healthcare,Weak Password Management,5,Data Encryption
2006,Goldman Sachs,Physical Breach,182873,1907559.921,Medium,Finance,Phishing Attack,4,Access Controls
2005,Treasury Department,Physical Breach,174021,955641.3728,Critical,Government,Improper Disposal ,2,Regular Security Training
2003,HHS,DDoS Attack,166416,1570790.986,High,Government,Insider Threat,3,Two-factor Authentication
2005,Best Buy,Password Guessing,684415,973898.9766,Medium,Retail,Improper Disposal ,2,Regular Security Training
2006,Lowe's,Password Guessing,285111,1905821.939,High,Retail,Phishing Attack,4,Regular Audits
2022,Target,Physical Breach,189744,493651.2123,High,Retail,Unintentional Info Leak ,1,Data Encryption
2011,UPMC,Phishing,585801,992792.769,Medium,Healthcare,Improper Disposal ,2,Two-factor Authentication
2019,Morgan Stanley,DDoS Attack,799100,2411374.909,High,Finance,Weak Password Management,5,Regular Security Training
2008,Kroger,Malware,119152,502497.3743,High,Retail,Unintentional Info Leak ,1,Access Controls
2005,Oracle,Password Guessing,968492,2462527.433,High,Technology,Weak Password Management,5,Regular Security Training
2013,Ascension,Ransomware,647781,2491561.32,High,Healthcare,Weak Password Management,5,Two-factor Authentication
2023,Target,Physical Breach,185431,2029145.222,Low,Retail,Phishing Attack,4,Two-factor Authentication
2002,Microsoft,Password Guessing,467428,543201.4389,Medium,Technology,Unintentional Info Leak ,1,Data Encryption
2007,CIA,Ransomware,239846,517725.0891,High,Government,Unintentional Info Leak ,1,Access Controls
2007,HP,Insider Threat,614513,2450782.685,Critical,Technology,Weak Password Management,5,Regular Security Training
2019,Mayo Clinic,Malware,407145,993773.5418,High,Healthcare,Improper Disposal ,2,Data Encryption
2008,UPMC,Ransomware,134391,2461342.47,High,Healthcare,Weak Password Management,5,Regular Security Training
2003,Lowe's,Insider Threat,439539,2494116.636,Medium,Retail,Weak Password Management,5,Regular Audits
2005,Lowe's,Physical Breach,580606,1009734.496,Low,Retail,Improper Disposal ,2,Access Controls
2006,Bank of America,Insider Threat,878646,1987600.281,Low,Finance,Phishing Attack,4,Regular Security Training
2007,DOD,Insider Threat,608615,1990530.157,Critical,Government,Phishing Attack,4,Regular Audits
2000,Cleveland Clinic,Phishing,43004,1434226.06,High,Healthcare,Insider Threat,3,Two-factor Authentication
2013,NASA,Insider Threat,503550,1024110.875,High,Government,Improper Disposal ,2,Access Controls
2015,Intel,Phishing,586616,1932009.297,High,Technology,Phishing Attack,4,Regular Security Training
2004,Kroger,Ransomware,251675,438724.155,Low,Retail,Unintentional Info Leak ,1,Data Encryption
